NF;Status;Cliente;CNPJ;Cidade;UF;RC;Coordenador;Transportadora;Analista;Data_Faturamento;Data_Agendada;SLA_Dias;Tempo_Parado_Dias;Observacoes
800499;Entregue;Obramax;45.991.011/0001-44;São Paulo;SP;RC0005;Ana;JSL;Amanda;12/03/2026;27/03/2026;15;0;Registro fictício para testes
428267;Reagendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0037;Ana;Patrus;Bruno;13/05/2026;28/05/2026;15;1;Registro fictício para testes
280222;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0045;Ana;JSL;Amanda;20/05/2026;27/05/2026;7;1;Registro fictício para testes
519902;Crítica;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0006;Ana;Tegma;Bruno;28/03/2026;08/04/2026;11;3;Registro fictício para testes
635280;Aguardando cliente;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0034;Ricardo;Braspress;Bruno;01/05/2026;04/05/2026;3;5;Registro fictício para testes
253557;Em transporte;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0013;Marcos;Rodonaves;Fernanda;22/04/2026;25/04/2026;3;10;Registro fictício para testes
758452;Atrasada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0030;Ricardo;Rodonaves;Amanda;30/04/2026;14/05/2026;14;10;Registro fictício para testes
754858;Entregue;Obramax;45.991.011/0001-44;São Paulo;SP;RC0041;Ana;Braspress;Amanda;01/03/2026;13/03/2026;12;1;Registro fictício para testes
417530;Em transporte;Carrefour;45.543.915/0001-81;Barueri;SP;RC0038;Marcos;Tegma;Gabriel;27/03/2026;08/04/2026;12;1;Registro fictício para testes
139434;Faturada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0024;Ana;JSL;Pedro;24/03/2026;02/04/2026;9;9;Registro fictício para testes
585188;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0048;Marcos;Patrus;Gabriel;19/03/2026;27/03/2026;8;10;Registro fictício para testes
598733;Crítica;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0010;Marcos;Patrus;Pedro;11/04/2026;22/04/2026;11;5;Registro fictício para testes
280941;Faturada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0016;Ricardo;Patrus;Amanda;19/03/2026;31/03/2026;12;8;Registro fictício para testes
481574;Entregue;Obramax;45.991.011/0001-44;São Paulo;SP;RC0019;Ana;Patrus;Bruno;05/03/2026;09/03/2026;4;10;Registro fictício para testes
761532;Entregue;Obramax;45.991.011/0001-44;São Paulo;SP;RC0005;Ana;JSL;Gabriel;16/05/2026;30/05/2026;14;10;Registro fictício para testes
858889;Agendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0022;Marcos;Rodonaves;Fernanda;16/04/2026;22/04/2026;6;5;Registro fictício para testes
794299;Reagendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0009;Ricardo;JSL;Bruno;28/02/2026;13/03/2026;13;8;Registro fictício para testes
444432;Agendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0043;Ricardo;Rodonaves;Pedro;01/03/2026;15/03/2026;14;10;Registro fictício para testes
119116;Entregue;Carrefour;45.543.915/0001-81;Barueri;SP;RC0020;Marcos;Braspress;Bruno;18/03/2026;25/03/2026;7;7;Registro fictício para testes
262471;Aguardando cliente;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0019;Marcos;Rodonaves;Gabriel;24/04/2026;28/04/2026;4;8;Registro fictício para testes
903531;Agendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0039;Ana;Braspress;Fernanda;27/02/2026;06/03/2026;7;2;Registro fictício para testes
558933;Faturada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0027;Ana;Braspress;Amanda;01/05/2026;14/05/2026;13;9;Registro fictício para testes
659951;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0020;Ana;Braspress;Bruno;26/03/2026;31/03/2026;5;10;Registro fictício para testes
906814;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0050;Ana;Rodonaves;Gabriel;27/03/2026;05/04/2026;9;6;Registro fictício para testes
734035;Agendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0017;Marcos;Patrus;Bruno;27/04/2026;11/05/2026;14;8;Registro fictício para testes
230734;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0006;Marcos;Tegma;Amanda;17/03/2026;01/04/2026;15;8;Registro fictício para testes
332823;Atrasada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0023;Marcos;Patrus;Pedro;28/03/2026;31/03/2026;3;6;Registro fictício para testes
504924;Aguardando cliente;Obramax;45.991.011/0001-44;São Paulo;SP;RC0024;Marcos;JSL;Bruno;05/04/2026;10/04/2026;5;1;Registro fictício para testes
140163;Em transporte;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0031;Ricardo;Braspress;Amanda;04/05/2026;08/05/2026;4;7;Registro fictício para testes
119927;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0014;Marcos;Rodonaves;Gabriel;22/05/2026;25/05/2026;3;8;Registro fictício para testes
402096;Confirmada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0020;Marcos;JSL;Fernanda;08/05/2026;22/05/2026;14;6;Registro fictício para testes
216242;Atrasada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0039;Ricardo;JSL;Gabriel;25/03/2026;28/03/2026;3;9;Registro fictício para testes
550089;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0040;Ana;Braspress;Gabriel;04/05/2026;10/05/2026;6;6;Registro fictício para testes
189772;Crítica;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0024;Marcos;Rodonaves;Gabriel;26/02/2026;10/03/2026;12;8;Registro fictício para testes
509420;Atrasada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0003;Ricardo;Patrus;Bruno;13/03/2026;15/03/2026;2;4;Registro fictício para testes
170841;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0016;Ricardo;JSL;Gabriel;07/04/2026;21/04/2026;14;5;Registro fictício para testes
672536;Entregue;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0042;Marcos;Patrus;Amanda;17/05/2026;24/05/2026;7;10;Registro fictício para testes
850827;Atrasada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0003;Ana;Braspress;Pedro;05/05/2026;08/05/2026;3;3;Registro fictício para testes
640418;Reagendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0035;Ana;Tegma;Pedro;12/04/2026;18/04/2026;6;10;Registro fictício para testes
918771;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0042;Ana;Tegma;Pedro;16/04/2026;23/04/2026;7;5;Registro fictício para testes
561097;Reagendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0022;Marcos;Patrus;Amanda;01/04/2026;14/04/2026;13;5;Registro fictício para testes
186624;Reagendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0006;Ana;Rodonaves;Fernanda;18/04/2026;02/05/2026;14;8;Registro fictício para testes
183958;Entregue;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0043;Ana;Tegma;Amanda;11/04/2026;14/04/2026;3;9;Registro fictício para testes
565471;Entregue;Carrefour;45.543.915/0001-81;Barueri;SP;RC0029;Marcos;Tegma;Gabriel;01/05/2026;14/05/2026;13;6;Registro fictício para testes
160144;Aguardando cliente;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0043;Ricardo;Patrus;Bruno;02/03/2026;16/03/2026;14;8;Registro fictício para testes
989894;Atrasada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0003;Marcos;JSL;Fernanda;19/05/2026;23/05/2026;4;10;Registro fictício para testes
694799;Faturada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0039;Marcos;Patrus;Bruno;06/04/2026;14/04/2026;8;5;Registro fictício para testes
244383;Crítica;Carrefour;45.543.915/0001-81;Barueri;SP;RC0024;Ana;Tegma;Bruno;13/05/2026;24/05/2026;11;3;Registro fictício para testes
295085;Atrasada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0034;Ana;Rodonaves;Pedro;19/05/2026;01/06/2026;13;4;Registro fictício para testes
324993;Em transporte;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0045;Ana;Braspress;Pedro;21/02/2026;02/03/2026;9;2;Registro fictício para testes
848022;Atrasada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0006;Ricardo;Tegma;Bruno;26/03/2026;30/03/2026;4;1;Registro fictício para testes
414527;Agendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0046;Ricardo;Braspress;Bruno;14/03/2026;20/03/2026;6;8;Registro fictício para testes
930541;Agendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0016;Ana;JSL;Bruno;07/05/2026;12/05/2026;5;8;Registro fictício para testes
942700;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0009;Ricardo;JSL;Pedro;05/04/2026;14/04/2026;9;4;Registro fictício para testes
530749;Reagendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0037;Marcos;Braspress;Bruno;22/03/2026;01/04/2026;10;10;Registro fictício para testes
813145;Crítica;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0023;Marcos;Rodonaves;Gabriel;26/03/2026;04/04/2026;9;2;Registro fictício para testes
158104;Aguardando cliente;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0034;Marcos;Tegma;Fernanda;28/03/2026;07/04/2026;10;2;Registro fictício para testes
462831;Crítica;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0019;Marcos;Tegma;Fernanda;21/02/2026;26/02/2026;5;10;Registro fictício para testes
755383;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0040;Ricardo;JSL;Gabriel;17/04/2026;21/04/2026;4;10;Registro fictício para testes
261684;Agendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0043;Ricardo;Rodonaves;Bruno;08/03/2026;19/03/2026;11;9;Registro fictício para testes
147670;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0042;Marcos;Rodonaves;Amanda;19/05/2026;22/05/2026;3;9;Registro fictício para testes
672079;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0042;Ana;Patrus;Fernanda;20/03/2026;01/04/2026;12;10;Registro fictício para testes
176517;Faturada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0011;Ana;Patrus;Amanda;14/04/2026;23/04/2026;9;7;Registro fictício para testes
250647;Entregue;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0046;Ana;Tegma;Amanda;09/04/2026;20/04/2026;11;2;Registro fictício para testes
211341;Entregue;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0016;Ana;JSL;Bruno;18/03/2026;28/03/2026;10;7;Registro fictício para testes
153063;Em transporte;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0025;Ricardo;Patrus;Fernanda;04/05/2026;07/05/2026;3;2;Registro fictício para testes
427905;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0049;Marcos;Patrus;Gabriel;10/03/2026;23/03/2026;13;7;Registro fictício para testes
124302;Aguardando cliente;Carrefour;45.543.915/0001-81;Barueri;SP;RC0026;Ricardo;Patrus;Fernanda;13/04/2026;22/04/2026;9;3;Registro fictício para testes
152995;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0032;Ricardo;Patrus;Bruno;07/04/2026;09/04/2026;2;8;Registro fictício para testes
240440;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0047;Ana;Patrus;Bruno;09/05/2026;17/05/2026;8;0;Registro fictício para testes
689107;Confirmada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0024;Ricardo;Tegma;Pedro;16/05/2026;27/05/2026;11;6;Registro fictício para testes
676566;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0040;Ricardo;Rodonaves;Pedro;26/03/2026;09/04/2026;14;2;Registro fictício para testes
933510;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0036;Ana;Braspress;Fernanda;02/04/2026;09/04/2026;7;9;Registro fictício para testes
142210;Faturada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0003;Marcos;Tegma;Amanda;01/04/2026;11/04/2026;10;8;Registro fictício para testes
640546;Agendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0021;Ricardo;Tegma;Fernanda;03/05/2026;14/05/2026;11;6;Registro fictício para testes
452713;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0033;Ricardo;Patrus;Gabriel;14/04/2026;25/04/2026;11;4;Registro fictício para testes
447329;Aguardando cliente;Carrefour;45.543.915/0001-81;Barueri;SP;RC0027;Ricardo;Tegma;Pedro;20/05/2026;27/05/2026;7;9;Registro fictício para testes
920934;Confirmada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0047;Marcos;Rodonaves;Amanda;19/04/2026;01/05/2026;12;2;Registro fictício para testes
749840;Reagendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0010;Ricardo;Braspress;Pedro;03/03/2026;16/03/2026;13;9;Registro fictício para testes
562462;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0027;Marcos;Patrus;Fernanda;28/04/2026;30/04/2026;2;6;Registro fictício para testes
989587;Faturada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0046;Marcos;Rodonaves;Fernanda;05/03/2026;14/03/2026;9;8;Registro fictício para testes
651002;Reagendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0021;Marcos;Patrus;Gabriel;27/02/2026;08/03/2026;9;5;Registro fictício para testes
909489;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0040;Ana;Braspress;Fernanda;07/04/2026;19/04/2026;12;4;Registro fictício para testes
412071;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0046;Marcos;Patrus;Bruno;14/04/2026;19/04/2026;5;7;Registro fictício para testes
856719;Em transporte;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0019;Marcos;Rodonaves;Gabriel;12/03/2026;26/03/2026;14;6;Registro fictício para testes
943700;Agendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0019;Marcos;Tegma;Pedro;08/04/2026;22/04/2026;14;5;Registro fictício para testes
883641;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0014;Marcos;Rodonaves;Bruno;28/02/2026;06/03/2026;6;8;Registro fictício para testes
745584;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0016;Marcos;Rodonaves;Fernanda;05/05/2026;08/05/2026;3;10;Registro fictício para testes
533377;Entregue;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0046;Ana;JSL;Fernanda;16/05/2026;19/05/2026;3;0;Registro fictício para testes
784607;Atrasada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0031;Ricardo;Braspress;Bruno;02/05/2026;10/05/2026;8;5;Registro fictício para testes
906066;Aguardando cliente;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0042;Ricardo;Braspress;Gabriel;01/03/2026;03/03/2026;2;0;Registro fictício para testes
284327;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0026;Ana;Braspress;Bruno;30/03/2026;14/04/2026;15;0;Registro fictício para testes
732063;Aguardando cliente;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0022;Ana;Patrus;Gabriel;14/04/2026;25/04/2026;11;8;Registro fictício para testes
628705;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0018;Marcos;JSL;Bruno;05/05/2026;20/05/2026;15;2;Registro fictício para testes
853504;Agendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0001;Ricardo;Tegma;Bruno;01/03/2026;07/03/2026;6;9;Registro fictício para testes
997734;Reagendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0028;Ricardo;Tegma;Pedro;30/04/2026;11/05/2026;11;6;Registro fictício para testes
600646;Entregue;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0016;Marcos;Tegma;Amanda;29/04/2026;03/05/2026;4;3;Registro fictício para testes
416613;Faturada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0017;Ricardo;Tegma;Fernanda;18/04/2026;25/04/2026;7;0;Registro fictício para testes
267475;Reagendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0044;Ricardo;Tegma;Pedro;24/03/2026;30/03/2026;6;10;Registro fictício para testes
331577;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0009;Ana;Braspress;Amanda;05/04/2026;16/04/2026;11;9;Registro fictício para testes
675914;Atrasada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0049;Ricardo;Braspress;Fernanda;30/03/2026;12/04/2026;13;10;Registro fictício para testes
568449;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0046;Ana;JSL;Gabriel;12/05/2026;22/05/2026;10;1;Registro fictício para testes
311976;Crítica;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0010;Marcos;Tegma;Gabriel;13/03/2026;23/03/2026;10;7;Registro fictício para testes
851742;Atrasada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0006;Ricardo;Patrus;Pedro;24/02/2026;01/03/2026;5;7;Registro fictício para testes
578987;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0036;Ana;Tegma;Pedro;18/03/2026;26/03/2026;8;6;Registro fictício para testes
328486;Aguardando cliente;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0003;Ana;Tegma;Pedro;22/05/2026;04/06/2026;13;8;Registro fictício para testes
133276;Em transporte;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0027;Marcos;Braspress;Amanda;14/05/2026;23/05/2026;9;5;Registro fictício para testes
495833;Reagendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0006;Ricardo;Rodonaves;Fernanda;26/03/2026;10/04/2026;15;10;Registro fictício para testes
663356;Reagendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0034;Marcos;Braspress;Pedro;07/05/2026;11/05/2026;4;0;Registro fictício para testes
854024;Crítica;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0028;Ricardo;Patrus;Fernanda;24/03/2026;05/04/2026;12;3;Registro fictício para testes
389039;Confirmada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0047;Marcos;JSL;Amanda;08/04/2026;12/04/2026;4;9;Registro fictício para testes
170559;Aguardando cliente;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0039;Marcos;Patrus;Gabriel;22/04/2026;27/04/2026;5;10;Registro fictício para testes
146385;Reagendada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0029;Marcos;Rodonaves;Fernanda;21/04/2026;04/05/2026;13;0;Registro fictício para testes
345536;Entregue;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0037;Ricardo;Tegma;Fernanda;19/03/2026;25/03/2026;6;4;Registro fictício para testes
331780;Reagendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0020;Ana;JSL;Gabriel;27/02/2026;09/03/2026;10;9;Registro fictício para testes
547952;Crítica;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0032;Marcos;Tegma;Amanda;03/03/2026;15/03/2026;12;8;Registro fictício para testes
528090;Agendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0020;Ana;Braspress;Gabriel;22/02/2026;02/03/2026;8;7;Registro fictício para testes
999197;Agendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0030;Marcos;Rodonaves;Amanda;24/04/2026;30/04/2026;6;6;Registro fictício para testes
507286;Confirmada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0017;Marcos;Tegma;Pedro;16/03/2026;20/03/2026;4;7;Registro fictício para testes
859782;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0004;Ana;Patrus;Gabriel;11/05/2026;21/05/2026;10;9;Registro fictício para testes
943737;Crítica;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0014;Ana;Braspress;Bruno;13/05/2026;18/05/2026;5;4;Registro fictício para testes
877493;Aguardando cliente;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0048;Ana;Braspress;Gabriel;25/04/2026;30/04/2026;5;3;Registro fictício para testes
437237;Em transporte;Carrefour;45.543.915/0001-81;Barueri;SP;RC0025;Ana;Rodonaves;Bruno;22/04/2026;02/05/2026;10;4;Registro fictício para testes
621433;Atrasada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0007;Ricardo;Patrus;Bruno;06/04/2026;16/04/2026;10;3;Registro fictício para testes
147936;Confirmada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0048;Marcos;JSL;Bruno;12/04/2026;20/04/2026;8;8;Registro fictício para testes
537862;Em transporte;Obramax;45.991.011/0001-44;São Paulo;SP;RC0010;Marcos;Tegma;Fernanda;09/03/2026;22/03/2026;13;6;Registro fictício para testes
677390;Entregue;Obramax;45.991.011/0001-44;São Paulo;SP;RC0017;Ana;Patrus;Amanda;21/04/2026;30/04/2026;9;2;Registro fictício para testes
855303;Crítica;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0032;Marcos;Rodonaves;Pedro;01/05/2026;05/05/2026;4;8;Registro fictício para testes
800674;Faturada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0049;Marcos;Patrus;Fernanda;13/05/2026;28/05/2026;15;10;Registro fictício para testes
258366;Faturada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0014;Ricardo;Patrus;Bruno;14/05/2026;27/05/2026;13;0;Registro fictício para testes
746467;Atrasada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0043;Ana;JSL;Pedro;02/03/2026;14/03/2026;12;8;Registro fictício para testes
117538;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0047;Ana;Rodonaves;Bruno;31/03/2026;02/04/2026;2;0;Registro fictício para testes
551488;Agendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0007;Marcos;Rodonaves;Fernanda;22/02/2026;06/03/2026;12;3;Registro fictício para testes
364679;Entregue;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0018;Ana;JSL;Bruno;04/03/2026;14/03/2026;10;6;Registro fictício para testes
831105;Confirmada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0020;Ricardo;JSL;Pedro;11/03/2026;16/03/2026;5;1;Registro fictício para testes
679549;Atrasada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0004;Ricardo;JSL;Fernanda;04/04/2026;12/04/2026;8;1;Registro fictício para testes
922478;Entregue;Carrefour;45.543.915/0001-81;Barueri;SP;RC0037;Marcos;Rodonaves;Pedro;28/03/2026;09/04/2026;12;3;Registro fictício para testes
598598;Em transporte;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0003;Marcos;Tegma;Gabriel;23/02/2026;06/03/2026;11;9;Registro fictício para testes
429761;Faturada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0014;Ricardo;Braspress;Amanda;30/04/2026;15/05/2026;15;1;Registro fictício para testes
352153;Reagendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0044;Ricardo;Tegma;Amanda;02/05/2026;13/05/2026;11;2;Registro fictício para testes
462659;Faturada;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0007;Ana;Braspress;Pedro;19/03/2026;01/04/2026;13;5;Registro fictício para testes
515973;Entregue;Obramax;45.991.011/0001-44;São Paulo;SP;RC0002;Ricardo;Tegma;Amanda;05/03/2026;16/03/2026;11;7;Registro fictício para testes
493663;Reagendada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0012;Ricardo;Rodonaves;Amanda;07/04/2026;17/04/2026;10;1;Registro fictício para testes
358421;Aguardando cliente;Obramax;45.991.011/0001-44;São Paulo;SP;RC0006;Ana;Braspress;Amanda;15/04/2026;29/04/2026;14;10;Registro fictício para testes
478221;Aguardando cliente;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0006;Marcos;Tegma;Amanda;03/04/2026;10/04/2026;7;5;Registro fictício para testes
191537;Agendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0028;Ana;Rodonaves;Gabriel;09/05/2026;13/05/2026;4;8;Registro fictício para testes
193972;Entregue;Carrefour;45.543.915/0001-81;Barueri;SP;RC0036;Marcos;Rodonaves;Gabriel;09/05/2026;11/05/2026;2;5;Registro fictício para testes
533911;Reagendada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0050;Marcos;Rodonaves;Fernanda;21/05/2026;27/05/2026;6;9;Registro fictício para testes
499226;Agendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0009;Ana;Tegma;Bruno;01/05/2026;13/05/2026;12;7;Registro fictício para testes
555791;Em transporte;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0027;Ana;Patrus;Pedro;14/05/2026;18/05/2026;4;5;Registro fictício para testes
755395;Atrasada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0039;Ricardo;Braspress;Amanda;21/04/2026;04/05/2026;13;1;Registro fictício para testes
514913;Entregue;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0040;Ana;Tegma;Amanda;14/04/2026;16/04/2026;2;5;Registro fictício para testes
242736;Em transporte;Carrefour;45.543.915/0001-81;Barueri;SP;RC0021;Ricardo;Braspress;Amanda;28/02/2026;11/03/2026;11;5;Registro fictício para testes
405605;Atrasada;Leroy Merlin;04.722.690/0001-15;Barueri;SP;RC0037;Marcos;Tegma;Amanda;02/04/2026;09/04/2026;7;4;Registro fictício para testes
691240;Confirmada;Carrefour;45.543.915/0001-81;Barueri;SP;RC0038;Ricardo;Braspress;Gabriel;06/04/2026;09/04/2026;3;0;Registro fictício para testes
559753;Em transporte;Carrefour;45.543.915/0001-81;Barueri;SP;RC0045;Marcos;Patrus;Amanda;21/02/2026;26/02/2026;5;2;Registro fictício para testes
790658;Agendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0046;Ana;Patrus;Pedro;22/04/2026;28/04/2026;6;7;Registro fictício para testes
520274;Crítica;Obramax;45.991.011/0001-44;São Paulo;SP;RC0033;Ricardo;Patrus;Gabriel;22/03/2026;02/04/2026;11;0;Registro fictício para testes
662986;Aguardando cliente;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0007;Marcos;Tegma;Fernanda;22/02/2026;08/03/2026;14;10;Registro fictício para testes
776364;Reagendada;Obramax;45.991.011/0001-44;São Paulo;SP;RC0049;Ana;Patrus;Pedro;17/05/2026;28/05/2026;11;0;Registro fictício para testes
635482;Crítica;Telhanorte;60.597.786/0001-15;São Paulo;SP;RC0036;Ricardo;Rodonaves;Fernanda;19/04/2026;24/04/2026;5;7;Registro fictício para testes
909859;Crítica;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0010;Ana;JSL;Amanda;02/04/2026;11/04/2026;9;1;Registro fictício para testes
221707;Agendada;Assaí Atacadista;06.057.223/0001-71;São Paulo;SP;RC0023;Ana;Tegma;Amanda;30/03/2026;02/04/2026;3;3;Registro fictício para testes
599292;Aguardando cliente;Obramax;45.991.011/0001-44;São Paulo;SP;RC0029;Ricardo;Patrus;Bruno;22/03/2026;29/03/2026;7;1;Registro fictício para testes
